district_number,district_name,school_number,school_name,year,subgroup,denominator,percent_ca,percent_ca_previous,baseline_year
260,Franklin County Schools,0,,2018,English Learners,101,7.9,12.4,2017
260,Franklin County Schools,0,,2018,Students with Disabilities,770,21.8,19.9,2017
260,Franklin County Schools,15,Broadview Elementary,2018,All Students,231,3.0,6.9,2017
260,Franklin County Schools,15,Broadview Elementary,2018,Black/Hispanic/Native,0,*,*,
260,Franklin County Schools,15,Broadview Elementary,2018,Economically Disadvantaged,44,9.1,17.9,2017
260,Franklin County Schools,15,Broadview Elementary,2018,English Learners,0,*,*,
260,Franklin County Schools,15,Broadview Elementary,2018,Students with Disabilities,38,7.9,13.6,2017
260,Franklin County Schools,30,Clark Memorial School,2018,All Students,473,15.2,12.1,2017
260,Franklin County Schools,30,Clark Memorial School,2018,Black/Hispanic/Native,116,8.6,8.3,2017
260,Franklin County Schools,30,Clark Memorial School,2018,Economically Disadvantaged,242,22.7,17.6,2017
260,Franklin County Schools,30,Clark Memorial School,2018,English Learners,0,*,*,
260,Franklin County Schools,30,Clark Memorial School,2018,Students with Disabilities,90,21.1,16.9,2017
260,Franklin County Schools,35,Cowan Elementary,2018,All Students,237,9.3,9.7,2017
260,Franklin County Schools,35,Cowan Elementary,2018,Black/Hispanic/Native,0,*,*,
260,Franklin County Schools,35,Cowan Elementary,2018,Economically Disadvantaged,106,13.2,12.6,2017
260,Franklin County Schools,35,Cowan Elementary,2018,English Learners,0,*,*,
260,Franklin County Schools,35,Cowan Elementary,2018,Students with Disabilities,63,9.5,10,2017
260,Franklin County Schools,40,Decherd Elementary,2018,All Students,330,15.5,15.5,2017
260,Franklin County Schools,40,Decherd Elementary,2018,Black/Hispanic/Native,64,25.0,20,2017
260,Franklin County Schools,40,Decherd Elementary,2018,Economically Disadvantaged,161,24.2,23.9,2017
260,Franklin County Schools,40,Decherd Elementary,2018,English Learners,0,*,*,
260,Franklin County Schools,40,Decherd Elementary,2018,Students with Disabilities,56,23.2,20.9,2017
260,Franklin County Schools,50,Franklin Co High School,2018,All Students,1276,23.1,23.2,2017
260,Franklin County Schools,50,Franklin Co High School,2018,Black/Hispanic/Native,182,21.4,19.5,2017
260,Franklin County Schools,50,Franklin Co High School,2018,Economically Disadvantaged,383,40.7,35.8,2017
260,Franklin County Schools,50,Franklin Co High School,2018,English Learners,0,*,*,
260,Franklin County Schools,50,Franklin Co High School,2018,Students with Disabilities,158,32.3,30.2,2017
260,Franklin County Schools,65,Huntland School,2018,All Students,782,7.7,8.6,2017
260,Franklin County Schools,65,Huntland School,2018,Black/Hispanic/Native,130,4.6,2.7,2017
260,Franklin County Schools,65,Huntland School,2018,Economically Disadvantaged,208,15.4,15.1,2017
260,Franklin County Schools,65,Huntland School,2018,English Learners,41,4.9,5,2017
260,Franklin County Schools,65,Huntland School,2018,Students with Disabilities,69,13.0,10.5,2017
260,Franklin County Schools,80,North Middle School,2018,All Students,638,22.9,14.1,2017
260,Franklin County Schools,80,North Middle School,2018,Black/Hispanic/Native,67,20.9,14.1,2017
260,Franklin County Schools,80,North Middle School,2018,Economically Disadvantaged,201,37.8,22.1,2017
260,Franklin County Schools,80,North Middle School,2018,English Learners,0,*,*,
260,Franklin County Schools,80,North Middle School,2018,Students with Disabilities,91,29.7,16.3,2017
260,Franklin County Schools,82,North Lake Elementary,2018,All Students,250,6.8,7.3,2017
260,Franklin County Schools,82,North Lake Elementary,2018,Black/Hispanic/Native,0,*,*,
260,Franklin County Schools,82,North Lake Elementary,2018,Economically Disadvantaged,78,15.4,13.1,2017
260,Franklin County Schools,82,North Lake Elementary,2018,English Learners,,*,*,
260,Franklin County Schools,82,North Lake Elementary,2018,Students with Disabilities,39,2.6,11.6,2017
260,Franklin County Schools,87,Rock Creek Elementary,2018,All Students,315,13.0,10.5,2017
260,Franklin County Schools,87,Rock Creek Elementary,2018,Black/Hispanic/Native,0,*,*,
260,Franklin County Schools,87,Rock Creek Elementary,2018,Economically Disadvantaged,115,26.1,19.4,2017
260,Franklin County Schools,87,Rock Creek Elementary,2018,English Learners,0,*,*,
260,Franklin County Schools,87,Rock Creek Elementary,2018,Students with Disabilities,55,20.0,18.2,2017
260,Franklin County Schools,90,Sewanee Elementary,2018,All Students,190,7.4,5.5,2017
260,Franklin County Schools,90,Sewanee Elementary,2018,Black/Hispanic/Native,0,*,*,
260,Franklin County Schools,90,Sewanee Elementary,2018,Economically Disadvantaged,0,*,*,
260,Franklin County Schools,90,Sewanee Elementary,2018,English Learners,,*,*,
260,Franklin County Schools,90,Sewanee Elementary,2018,Students with Disabilities,0,*,*,
260,Franklin County Schools,115,South Middle School,2018,All Students,363,17.6,17.4,2017
260,Franklin County Schools,115,South Middle School,2018,Black/Hispanic/Native,63,7.9,11.9,2017
260,Franklin County Schools,115,South Middle School,2018,Economically Disadvantaged,122,26.2,22.1,2017
260,Franklin County Schools,115,South Middle School,2018,English Learners,0,*,*,
260,Franklin County Schools,115,South Middle School,2018,Students with Disabilities,86,29.1,31.2,2017
271,Humboldt City Schools,0,,2018,All Students,1082,11.4,18.3,2017
271,Humboldt City Schools,0,,2018,Black/Hispanic/Native,849,10.4,16.4,2017
271,Humboldt City Schools,0,,2018,Economically Disadvantaged,703,14.2,21.7,2017
271,Humboldt City Schools,0,,2018,English Learners,21,4.8,8,2017
271,Humboldt City Schools,0,,2018,Students with Disabilities,164,20.1,23.8,2017
271,Humboldt City Schools,20,Humboldt Junior/Senior High School,2018,All Students,398,14.8,20.4,2017
271,Humboldt City Schools,20,Humboldt Junior/Senior High School,2018,Black/Hispanic/Native,324,12.7,17.4,2017
271,Humboldt City Schools,20,Humboldt Junior/Senior High School,2018,Economically Disadvantaged,222,20.7,26.4,2017
271,Humboldt City Schools,20,Humboldt Junior/Senior High School,2018,English Learners,0,*,*,
271,Humboldt City Schools,20,Humboldt Junior/Senior High School,2018,Students with Disabilities,66,24.2,21.2,2017
271,Humboldt City Schools,27,East Elementary School,2018,All Students,458,7.2,15.5,2017
271,Humboldt City Schools,27,East Elementary School,2018,Black/Hispanic/Native,359,6.7,14.5,2017
271,Humboldt City Schools,27,East Elementary School,2018,Economically Disadvantaged,309,8.1,17.9,2017
271,Humboldt City Schools,27,East Elementary School,2018,English Learners,0,*,*,
271,Humboldt City Schools,27,East Elementary School,2018,Students with Disabilities,67,14.9,23.5,2017
271,Humboldt City Schools,29,Stigall Primary School,2018,All Students,,*,*,
271,Humboldt City Schools,29,Stigall Primary School,2018,Black/Hispanic/Native,,*,*,
271,Humboldt City Schools,29,Stigall Primary School,2018,Economically Disadvantaged,,*,*,
271,Humboldt City Schools,29,Stigall Primary School,2018,English Learners,,*,*,
271,Humboldt City Schools,29,Stigall Primary School,2018,Students with Disabilities,,*,*,
272,Milan Special School District,0,,2018,All Students,1928,6.7,5.8,2017
272,Milan Special School District,0,,2018,Black/Hispanic/Native,589,5.4,3.3,2017
272,Milan Special School District,0,,2018,Economically Disadvantaged,789,10.4,8.8,2017
272,Milan Special School District,0,,2018,English Learners,9,*,0,
272,Milan Special School District,0,,2018,Students with Disabilities,349,10.0,6.8,2017
272,Milan Special School District,10,Milan High School,2018,All Students,647,8.8,7.8,2017
272,Milan Special School District,10,Milan High School,2018,Black/Hispanic/Native,191,8.9,7.4,2017
272,Milan Special School District,10,Milan High School,2018,Economically Disadvantaged,224,14.7,12.8,2017
272,Milan Special School District,10,Milan High School,2018,English Learners,0,*,*,
272,Milan Special School District,10,Milan High School,2018,Students with Disabilities,104,7.7,9.8,2017
272,Milan Special School District,15,Milan Middle School,2018,All Students,604,3.5,4.6,2017
272,Milan Special School District,15,Milan Middle School,2018,Black/Hispanic/Native,179,1.1,1.7,2017
272,Milan Special School District,15,Milan Middle School,2018,Economically Disadvantaged,235,3.0,8.6,2017
272,Milan Special School District,15,Milan Middle School,2018,English Learners,0,*,*,
272,Milan Special School District,15,Milan Middle School,2018,Students with Disabilities,117,9.4,2.3,2017
272,Milan Special School District,25,Milan Elementary,2018,All Students,680,7.5,5.1,2017
272,Milan Special School District,25,Milan Elementary,2018,Black/Hispanic/Native,220,6.4,1.3,2017
272,Milan Special School District,25,Milan Elementary,2018,Economically Disadvantaged,330,12.7,6.8,2017
272,Milan Special School District,25,Milan Elementary,2018,English Learners,0,*,*,
272,Milan Special School District,25,Milan Elementary,2018,Students with Disabilities,129,11.6,8.9,2017
273,Trenton Special School District,0,,2018,All Students,1282,9.6,10,2017
273,Trenton Special School District,0,,2018,Black/Hispanic/Native,466,9.9,9.8,2017
273,Trenton Special School District,0,,2018,Economically Disadvantaged,646,13.6,13.9,2017
273,Trenton Special School District,0,,2018,English Learners,32,6.3,4.9,2017
273,Trenton Special School District,0,,2018,Students with Disabilities,171,12.3,18.4,2017
273,Trenton Special School District,5,Peabody High School,2018,All Students,396,11.1,13.3,2017
273,Trenton Special School District,5,Peabody High School,2018,Black/Hispanic/Native,137,13.1,15.5,2017
273,Trenton Special School District,5,Peabody High School,2018,Economically Disadvantaged,175,18.9,20.5,2017
273,Trenton Special School District,5,Peabody High School,2018,English Learners,0,*,*,
273,Trenton Special School District,5,Peabody High School,2018,Students with Disabilities,48,18.8,22.6,2017
273,Trenton Special School District,10,Trenton Middle School,2018,All Students,386,7.0,6.2,2017
273,Trenton Special School District,10,Trenton Middle School,2018,Black/Hispanic/Native,155,6.5,4.4,2017
273,Trenton Special School District,10,Trenton Middle School,2018,Economically Disadvantaged,189,9.0,8.1,2017
273,Trenton Special School District,10,Trenton Middle School,2018,English Learners,0,*,*,
273,Trenton Special School District,10,Trenton Middle School,2018,Students with Disabilities,55,7.3,*,
273,Trenton Special School District,15,Trenton Elementary,2018,All Students,501,10.4,10.2,2017
273,Trenton Special School District,15,Trenton Elementary,2018,Black/Hispanic/Native,175,10.3,10.2,2017
273,Trenton Special School District,15,Trenton Elementary,2018,Economically Disadvantaged,282,13.5,13.1,2017
273,Trenton Special School District,15,Trenton Elementary,2018,English Learners,0,*,*,
273,Trenton Special School District,15,Trenton Elementary,2018,Students with Disabilities,68,11.8,20.3,2017
274,Bradford Special School District,0,,2018,All Students,516,5.6,8,2017
274,Bradford Special School District,0,,2018,Black/Hispanic/Native,35,0,14.6,2017
274,Bradford Special School District,0,,2018,Economically Disadvantaged,154,9.7,16.1,2017
274,Bradford Special School District,0,,2018,English Learners,,*,*,
274,Bradford Special School District,0,,2018,Students with Disabilities,79,11.4,5.6,2017
274,Bradford Special School District,5,Bradford High School,2018,All Students,238,7.6,12.3,2017
274,Bradford Special School District,5,Bradford High School,2018,Black/Hispanic/Native,0,*,*,
274,Bradford Special School District,5,Bradford High School,2018,Economically Disadvantaged,60,15.0,29.6,2017
274,Bradford Special School District,5,Bradford High School,2018,English Learners,,*,*,
274,Bradford Special School District,5,Bradford High School,2018,Students with Disabilities,34,11.8,*,
274,Bradford Special School District,10,Bradford Elementary,2018,All Students,278,4.0,4.5,2017
274,Bradford Special School District,10,Bradford Elementary,2018,Black/Hispanic/Native,0,*,*,
274,Bradford Special School District,10,Bradford Elementary,2018,Economically Disadvantaged,94,6.4,8.2,2017
274,Bradford Special School District,10,Bradford Elementary,2018,English Learners,,*,*,
274,Bradford Special School District,10,Bradford Elementary,2018,Students with Disabilities,45,11.1,0,2017
275,Gibson County Special School District,0,,2018,All Students,3914,7.2,7.3,2017
275,Gibson County Special School District,0,,2018,Black/Hispanic/Native,421,7.4,6.3,2017
275,Gibson County Special School District,0,,2018,Economically Disadvantaged,888,14.8,14.1,2017
275,Gibson County Special School District,0,,2018,English Learners,29,3.4,5.9,2017
275,Gibson County Special School District,0,,2018,Students with Disabilities,454,12.6,10.5,2017
275,Gibson County Special School District,15,Dyer Elementary,2018,All Students,401,8.7,8,2017
275,Gibson County Special School District,15,Dyer Elementary,2018,Black/Hispanic/Native,64,7.8,3.8,2017
275,Gibson County Special School District,15,Dyer Elementary,2018,Economically Disadvantaged,182,14.8,13.1,2017
275,Gibson County Special School District,15,Dyer Elementary,2018,English Learners,,*,*,
275,Gibson County Special School District,15,Dyer Elementary,2018,Students with Disabilities,60,16.7,15.3,2017
275,Gibson County Special School District,33,Gibson County High School,2018,All Students,501,11.4,13.3,2017
275,Gibson County Special School District,33,Gibson County High School,2018,Black/Hispanic/Native,75,8.0,10.8,2017
275,Gibson County Special School District,33,Gibson County High School,2018,Economically Disadvantaged,145,25.5,22.3,2017
275,Gibson County Special School District,33,Gibson County High School,2018,English Learners,0,*,*,
275,Gibson County Special School District,33,Gibson County High School,2018,Students with Disabilities,75,18.7,17.3,2017
275,Gibson County Special School District,35,Kenton Elementary School,2018,All Students,80,13.8,11.9,2017
275,Gibson County Special School District,35,Kenton Elementary School,2018,Black/Hispanic/Native,0,*,*,
275,Gibson County Special School District,35,Kenton Elementary School,2018,Economically Disadvantaged,32,21.9,19.4,2017
275,Gibson County Special School District,35,Kenton Elementary School,2018,English Learners,,*,*,
275,Gibson County Special School District,35,Kenton Elementary School,2018,Students with Disabilities,0,*,*,
275,Gibson County Special School District,37,South Gibson County High School,2018,All Students,749,10.0,10.3,2017
275,Gibson County Special School District,37,South Gibson County High School,2018,Black/Hispanic/Native,71,14.1,11.1,2017
275,Gibson County Special School District,37,South Gibson County High School,2018,Economically Disadvantaged,93,26.9,30.3,2017
275,Gibson County Special School District,37,South Gibson County High School,2018,English Learners,0,*,*,
275,Gibson County Special School District,37,South Gibson County High School,2018,Students with Disabilities,66,10.6,16.7,2017
275,Gibson County Special School District,40,Medina Elementary,2018,All Students,,*,*,
275,Gibson County Special School District,40,Medina Elementary,2018,Black/Hispanic/Native,,*,*,
275,Gibson County Special School District,40,Medina Elementary,2018,Economically Disadvantaged,,*,*,
275,Gibson County Special School District,40,Medina Elementary,2018,English Learners,,*,*,
275,Gibson County Special School District,40,Medina Elementary,2018,Students with Disabilities,,*,*,
275,Gibson County Special School District,45,Medina Middle School,2018,All Students,1169,4.1,4.8,2017
275,Gibson County Special School District,45,Medina Middle School,2018,Black/Hispanic/Native,95,2.1,0,2017
275,Gibson County Special School District,45,Medina Middle School,2018,Economically Disadvantaged,171,6.4,14,2017
275,Gibson County Special School District,45,Medina Middle School,2018,English Learners,0,*,*,
275,Gibson County Special School District,45,Medina Middle School,2018,Students with Disabilities,95,8.4,3.4,2017
275,Gibson County Special School District,55,Rutherford Elementary,2018,All Students,261,5.0,4.5,2017
275,Gibson County Special School District,55,Rutherford Elementary,2018,Black/Hispanic/Native,52,3.8,2.1,2017
275,Gibson County Special School District,55,Rutherford Elementary,2018,Economically Disadvantaged,107,8.4,7.7,2017
275,Gibson County Special School District,55,Rutherford Elementary,2018,English Learners,0,*,*,
275,Gibson County Special School District,55,Rutherford Elementary,2018,Students with Disabilities,36,11.1,15.6,2017
275,Gibson County Special School District,65,Spring Hill Elementary,2018,All Students,122,9.0,8.1,2017
275,Gibson County Special School District,65,Spring Hill Elementary,2018,Black/Hispanic/Native,0,*,*,
275,Gibson County Special School District,65,Spring Hill Elementary,2018,Economically Disadvantaged,45,2.2,8.5,2017
275,Gibson County Special School District,65,Spring Hill Elementary,2018,English Learners,0,*,*,
275,Gibson County Special School District,65,Spring Hill Elementary,2018,Students with Disabilities,0,*,*,
275,Gibson County Special School District,85,Yorkville Elementary,2018,All Students,126,9.5,6.4,2017
275,Gibson County Special School District,85,Yorkville Elementary,2018,Black/Hispanic/Native,0,*,*,
275,Gibson County Special School District,85,Yorkville Elementary,2018,Economically Disadvantaged,44,15.9,11.1,2017
275,Gibson County Special School District,85,Yorkville Elementary,2018,English Learners,0,*,*,
275,Gibson County Special School District,85,Yorkville Elementary,2018,Students with Disabilities,0,*,*,
280,Giles County Schools,0,,2018,All Students,3715,10.7,10.6,2017
280,Giles County Schools,0,,2018,Black/Hispanic/Native,796,9.8,10.3,2017
280,Giles County Schools,0,,2018,Economically Disadvantaged,1653,16.6,16.3,2017
280,Giles County Schools,0,,2018,English Learners,42,7.1,5.5,2017
280,Giles County Schools,0,,2018,Students with Disabilities,424,17.0,11.7,2017
280,Giles County Schools,7,Bridgeforth Middle School,2018,All Students,382,12.0,8.8,2017
280,Giles County Schools,7,Bridgeforth Middle School,2018,Black/Hispanic/Native,138,16.7,10.9,2017
280,Giles County Schools,7,Bridgeforth Middle School,2018,Economically Disadvantaged,186,18.3,15.1,2017
280,Giles County Schools,7,Bridgeforth Middle School,2018,English Learners,0,*,*,
280,Giles County Schools,7,Bridgeforth Middle School,2018,Students with Disabilities,49,18.4,17.3,2017
280,Giles County Schools,35,Elkton Elementary,2018,All Students,284,9.9,7.4,2017
280,Giles County Schools,35,Elkton Elementary,2018,Black/Hispanic/Native,56,12.5,0,2017
280,Giles County Schools,35,Elkton Elementary,2018,Economically Disadvantaged,130,15.4,11.1,2017
280,Giles County Schools,35,Elkton Elementary,2018,English Learners,0,*,*,
280,Giles County Schools,35,Elkton Elementary,2018,Students with Disabilities,31,9.7,10.3,2017
280,Giles County Schools,45,Giles Co High School,2018,All Students,754,13.9,17.3,2017
280,Giles County Schools,45,Giles Co High School,2018,Black/Hispanic/Native,176,9.7,19.7,2017
280,Giles County Schools,45,Giles Co High School,2018,Economically Disadvantaged,286,24.8,30.9,2017
280,Giles County Schools,45,Giles Co High School,2018,English Learners,0,*,*,
280,Giles County Schools,45,Giles Co High School,2018,Students with Disabilities,62,29.0,14.6,2017
280,Giles County Schools,65,Minor Hill School,2018,All Students,366,7.4,4.1,2017
280,Giles County Schools,65,Minor Hill School,2018,Black/Hispanic/Native,0,*,*,
280,Giles County Schools,65,Minor Hill School,2018,Economically Disadvantaged,173,12.1,8.6,2017
280,Giles County Schools,65,Minor Hill School,2018,English Learners,0,*,*,
280,Giles County Schools,65,Minor Hill School,2018,Students with Disabilities,33,6.1,0,2017
280,Giles County Schools,72,Pulaski Elementary,2018,All Students,,*,*,
280,Giles County Schools,72,Pulaski Elementary,2018,Black/Hispanic/Native,,*,*,
280,Giles County Schools,72,Pulaski Elementary,2018,Economically Disadvantaged,,*,*,
280,Giles County Schools,72,Pulaski Elementary,2018,English Learners,,*,*,
280,Giles County Schools,72,Pulaski Elementary,2018,Students with Disabilities,,*,*,
280,Giles County Schools,81,Richland Elementary,2018,All Students,488,8.0,7.4,2017
280,Giles County Schools,81,Richland Elementary,2018,Black/Hispanic/Native,44,4.5,0,2017
280,Giles County Schools,81,Richland Elementary,2018,Economically Disadvantaged,206,13.1,13,2017
280,Giles County Schools,81,Richland Elementary,2018,English Learners,0,*,*,
280,Giles County Schools,81,Richland Elementary,2018,Students with Disabilities,75,12.0,12.1,2017
280,Giles County Schools,84,Richland School,2018,All Students,621,12.9,15.5,2017
280,Giles County Schools,84,Richland School,2018,Black/Hispanic/Native,37,8.1,6.5,2017
280,Giles County Schools,84,Richland School,2018,Economically Disadvantaged,191,23.0,28.5,2017
280,Giles County Schools,84,Richland School,2018,English Learners,0,*,*,
280,Giles County Schools,84,Richland School,2018,Students with Disabilities,58,15.5,18.2,2017
280,Giles County Schools,87,Southside Elementary,2018,All Students,424,9.0,6.1,2017
280,Giles County Schools,87,Southside Elementary,2018,Black/Hispanic/Native,170,7.1,6.7,2017
280,Giles County Schools,87,Southside Elementary,2018,Economically Disadvantaged,249,12.0,7.5,2017
280,Giles County Schools,87,Southside Elementary,2018,English Learners,0,*,*,
280,Giles County Schools,87,Southside Elementary,2018,Students with Disabilities,53,18.9,9.2,2017
290,Grainger County Schools,0,,2018,All Students,3355,16.1,36.2,2017
290,Grainger County Schools,0,,2018,Black/Hispanic/Native,233,10.3,23.3,2017
290,Grainger County Schools,0,,2018,Economically Disadvantaged,1273,24.6,44.5,2017
290,Grainger County Schools,0,,2018,English Learners,67,6.0,10.8,2017
290,Grainger County Schools,0,,2018,Students with Disabilities,596,21.0,42.2,2017
290,Grainger County Schools,5,Bean Station Elementary,2018,All Students,443,11.5,22.3,2017
290,Grainger County Schools,5,Bean Station Elementary,2018,Black/Hispanic/Native,0,*,*,
290,Grainger County Schools,5,Bean Station Elementary,2018,Economically Disadvantaged,200,18.0,34,2017
290,Grainger County Schools,5,Bean Station Elementary,2018,English Learners,0,*,*,
290,Grainger County Schools,5,Bean Station Elementary,2018,Students with Disabilities,83,16.9,29.6,2017
290,Grainger County Schools,8,Grainger High School,2018,All Students,913,21.8,37.4,2017
290,Grainger County Schools,8,Grainger High School,2018,Black/Hispanic/Native,60,18.3,38.7,2017
290,Grainger County Schools,8,Grainger High School,2018,Economically Disadvantaged,298,34.9,48.7,2017
290,Grainger County Schools,8,Grainger High School,2018,English Learners,0,*,*,
290,Grainger County Schools,8,Grainger High School,2018,Students with Disabilities,118,31.4,40.2,2017
290,Grainger County Schools,10,Joppa Elementary,2018,All Students,478,12.6,39,2017
290,Grainger County Schools,10,Joppa Elementary,2018,Black/Hispanic/Native,0,*,*,
290,Grainger County Schools,10,Joppa Elementary,2018,Economically Disadvantaged,192,16.7,48.5,2017
290,Grainger County Schools,10,Joppa Elementary,2018,English Learners,0,*,*,
290,Grainger County Schools,10,Joppa Elementary,2018,Students with Disabilities,96,13.5,47.6,2017
290,Grainger County Schools,15,Rutledge Primary,2018,All Students,,*,*,
290,Grainger County Schools,15,Rutledge Primary,2018,Black/Hispanic/Native,,*,*,
290,Grainger County Schools,15,Rutledge Primary,2018,Economically Disadvantaged,,*,*,
290,Grainger County Schools,15,Rutledge Primary,2018,English Learners,,*,*,
290,Grainger County Schools,15,Rutledge Primary,2018,Students with Disabilities,,*,*,
290,Grainger County Schools,18,Rutledge Elementary School,2018,All Students,357,11.8,36.8,2017
290,Grainger County Schools,18,Rutledge Elementary School,2018,Black/Hispanic/Native,56,1.8,11.3,2017
290,Grainger County Schools,18,Rutledge Elementary School,2018,Economically Disadvantaged,146,18.5,43.7,2017
290,Grainger County Schools,18,Rutledge Elementary School,2018,English Learners,0,*,*,
290,Grainger County Schools,18,Rutledge Elementary School,2018,Students with Disabilities,100,14.0,43.4,2017
290,Grainger County Schools,23,Rutledge Middle School,2018,All Students,470,15.5,39.1,2017
290,Grainger County Schools,23,Rutledge Middle School,2018,Black/Hispanic/Native,39,5.1,*,
290,Grainger County Schools,23,Rutledge Middle School,2018,Economically Disadvantaged,173,24.3,44.2,2017
290,Grainger County Schools,23,Rutledge Middle School,2018,English Learners,0,*,*,
290,Grainger County Schools,23,Rutledge Middle School,2018,Students with Disabilities,83,27.7,46.6,2017
290,Grainger County Schools,30,Washburn School,2018,All Students,551,16.2,38.3,2017
290,Grainger County Schools,30,Washburn School,2018,Black/Hispanic/Native,0,*,*,
290,Grainger County Schools,30,Washburn School,2018,Economically Disadvantaged,208,28.4,44.9,2017
290,Grainger County Schools,30,Washburn School,2018,English Learners,,*,*,
290,Grainger County Schools,30,Washburn School,2018,Students with Disabilities,77,18.2,43.9,2017
290,Grainger County Schools,32,Grainger Academy,2018,All Students,,*,*,
290,Grainger County Schools,32,Grainger Academy,2018,Black/Hispanic/Native,,*,*,
290,Grainger County Schools,32,Grainger Academy,2018,Economically Disadvantaged,,*,*,
290,Grainger County Schools,32,Grainger Academy,2018,English Learners,,*,*,
290,Grainger County Schools,32,Grainger Academy,2018,Students with Disabilities,,*,*,
300,Greene County Schools,0,,2018,All Students,6425,8.4,10.5,2017
300,Greene County Schools,0,,2018,Black/Hispanic/Native,419,7.9,7.6,2017
300,Greene County Schools,0,,2018,Economically Disadvantaged,2258,13.1,15.3,2017
300,Greene County Schools,0,,2018,English Learners,66,3.0,5.4,2017
300,Greene County Schools,0,,2018,Students with Disabilities,1157,11.4,13,2017
300,Greene County Schools,5,Baileyton Elementary,2018,All Students,313,7.0,4.7,2017
300,Greene County Schools,5,Baileyton Elementary,2018,Black/Hispanic/Native,0,*,*,
300,Greene County Schools,5,Baileyton Elementary,2018,Economically Disadvantaged,100,11.0,8,2017
300,Greene County Schools,5,Baileyton Elementary,2018,English Learners,0,*,*,
300,Greene County Schools,5,Baileyton Elementary,2018,Students with Disabilities,62,8.1,5.9,2017
300,Greene County Schools,10,Camp Creek Elementary,2018,All Students,280,7.9,10.1,2017
300,Greene County Schools,10,Camp Creek Elementary,2018,Black/Hispanic/Native,0,*,*,
300,Greene County Schools,10,Camp Creek Elementary,2018,Economically Disadvantaged,131,11.5,11.7,2017
300,Greene County Schools,10,Camp Creek Elementary,2018,English Learners,,*,*,
300,Greene County Schools,10,Camp Creek Elementary,2018,Students with Disabilities,72,12.5,8.1,2017
300,Greene County Schools,20,Chuckey Elementary,2018,All Students,341,7.0,12.1,2017
300,Greene County Schools,20,Chuckey Elementary,2018,Black/Hispanic/Native,31,0,*,
300,Greene County Schools,20,Chuckey Elementary,2018,Economically Disadvantaged,140,10.7,17.2,2017
300,Greene County Schools,20,Chuckey Elementary,2018,English Learners,0,*,*,
300,Greene County Schools,20,Chuckey Elementary,2018,Students with Disabilities,62,3.2,18.5,2017
300,Greene County Schools,25,Chuckey Doak Middle School,2018,All Students,439,8.9,13,2017
300,Greene County Schools,25,Chuckey Doak Middle School,2018,Black/Hispanic/Native,39,5.1,*,
300,Greene County Schools,25,Chuckey Doak Middle School,2018,Economically Disadvantaged,151,13.2,17.2,2017
300,Greene County Schools,25,Chuckey Doak Middle School,2018,English Learners,0,*,*,
300,Greene County Schools,25,Chuckey Doak Middle School,2018,Students with Disabilities,58,13.8,17.6,2017
300,Greene County Schools,28,Chuckey Doak High School,2018,All Students,620,10.8,12.8,2017
300,Greene County Schools,28,Chuckey Doak High School,2018,Black/Hispanic/Native,51,7.8,11.4,2017
300,Greene County Schools,28,Chuckey Doak High School,2018,Economically Disadvantaged,183,20.8,21.3,2017
300,Greene County Schools,28,Chuckey Doak High School,2018,English Learners,0,*,*,
300,Greene County Schools,28,Chuckey Doak High School,2018,Students with Disabilities,93,19.4,12.5,2017
300,Greene County Schools,30,Debusk Elementary,2018,All Students,302,9.6,15.5,2017
300,Greene County Schools,30,Debusk Elementary,2018,Black/Hispanic/Native,0,*,*,
300,Greene County Schools,30,Debusk Elementary,2018,Economically Disadvantaged,92,18.5,25.2,2017
300,Greene County Schools,30,Debusk Elementary,2018,English Learners,0,*,*,
300,Greene County Schools,30,Debusk Elementary,2018,Students with Disabilities,58,15.5,22.2,2017
300,Greene County Schools,35,Doak Elementary,2018,All Students,531,4.3,7,2017
300,Greene County Schools,35,Doak Elementary,2018,Black/Hispanic/Native,52,7.7,5.6,2017
300,Greene County Schools,35,Doak Elementary,2018,Economically Disadvantaged,195,5.6,10.2,2017
300,Greene County Schools,35,Doak Elementary,2018,English Learners,0,*,*,
300,Greene County Schools,35,Doak Elementary,2018,Students with Disabilities,101,6.9,8.2,2017
300,Greene County Schools,40,Glenwood Elementary,2018,All Students,180,7.2,7,2017
300,Greene County Schools,40,Glenwood Elementary,2018,Black/Hispanic/Native,0,*,*,
300,Greene County Schools,40,Glenwood Elementary,2018,Economically Disadvantaged,71,15.5,7.9,2017
300,Greene County Schools,40,Glenwood Elementary,2018,English Learners,0,*,*,
300,Greene County Schools,40,Glenwood Elementary,2018,Students with Disabilities,34,2.9,*,
300,Greene County Schools,55,McDonald Elementary,2018,All Students,322,11.2,10.9,2017
300,Greene County Schools,55,McDonald Elementary,2018,Black/Hispanic/Native,0,*,*,
300,Greene County Schools,55,McDonald Elementary,2018,Economically Disadvantaged,116,17.2,17.6,2017
300,Greene County Schools,55,McDonald Elementary,2018,English Learners,,*,*,
300,Greene County Schools,55,McDonald Elementary,2018,Students with Disabilities,72,16.7,17,2017
300,Greene County Schools,60,Mosheim Elementary,2018,All Students,889,9.3,9.5,2017
300,Greene County Schools,60,Mosheim Elementary,2018,Black/Hispanic/Native,68,11.8,9.4,2017
300,Greene County Schools,60,Mosheim Elementary,2018,Economically Disadvantaged,372,14.0,12.6,2017
300,Greene County Schools,60,Mosheim Elementary,2018,English Learners,0,*,*,
